2012-06,Metropolitan Police,00AEHB,119,6,43,14,5,15,3,0,6,10,17,0
2012-06,Metropolitan Police,00AEHC,176,18,47,4,7,31,7,4,13,19,18,8
2012-06,Metropolitan Police,00AEHD,152,11,70,6,10,22,6,2,5,8,6,6
2012-06,Metropolitan Police,00AEHE,289,18,103,16,3,44,16,19,13,24,23,10
2012-06,Metropolitan Police,00AEHF,234,14,100,4,14,29,14,8,6,25,12,8
2012-06,Metropolitan Police,00AMGT,228,15,57,7,24,31,6,4,11,50,15,8
2012-06,Metropolitan Police,00AWGR,125,6,43,0,5,8,3,4,5,43,6,2
2012-06,Metropolitan Police,00AWGQ,141,7,63,4,6,25,4,0,10,17,1,4
2012-06,Metropolitan Police,00AWGP,120,5,24,0,10,5,2,9,2,53,1,9
2012-06,Metropolitan Police,00AHGX,65,12,23,0,11,6,1,1,2,5,2,2
2012-06,Metropolitan Police,00ANGK,59,7,14,0,11,6,3,0,1,13,2,2
2012-06,Metropolitan Police,00AWGG,100,6,21,2,7,8,1,14,3,28,1,9
2012-06,Metropolitan Police,00AWGF,148,3,48,4,5,18,7,8,5,39,10,1
2012-06,Metropolitan Police,00AWGE,163,7,55,3,10,17,8,2,9,31,14,7
2012-06,Metropolitan Police,00AWGD,93,5,42,4,5,7,3,1,0,21,5,0
2012-06,Metropolitan Police,00AWGC,126,16,27,4,7,7,2,8,0,42,6,7
2012-06,Metropolitan Police,00AHGZ,197,20,73,13,13,32,8,12,9,8,4,5
2012-06,Metropolitan Police,00AWGA,127,10,34,0,6,8,2,9,2,49,2,5
2012-06,Metropolitan Police,00AWGN,88,12,23,0,4,12,5,2,3,17,7,3
2012-06,Metropolitan Police,00AWGM,95,12,16,2,13,5,0,5,0,38,2,2
2012-06,Metropolitan Police,00AWGL,123,6,30,6,11,4,5,9,11,38,0,3
2012-06,Metropolitan Police,00AWGK,96,4,39,1,10,14,1,0,4,18,3,2
2012-06,Metropolitan Police,00AWGJ,96,8,23,6,10,15,4,1,4,16,5,4
2012-06,Metropolitan Police,00BJGN,145,13,34,3,14,15,5,7,8,34,7,5
2012-06,Metropolitan Police,00AWGH,89,10,21,4,12,8,3,4,3,18,4,2
2012-06,Metropolitan Police,00AYGU,167,22,59,14,13,18,4,0,9,16,5,7
2012-06,Metropolitan Police,00AYGT,139,22,39,8,15,18,6,2,9,15,3,2
2012-06,Metropolitan Police,00AYGW,192,23,62,7,14,29,7,2,8,27,11,2
2012-06,Metropolitan Police,00AYGQ,148,8,51,4,15,24,3,3,9,19,2,10
2012-06,Metropolitan Police,00AYGP,165,18,57,8,20,20,7,0,11,17,3,4
2012-06,Metropolitan Police,00AYGS,112,14,22,12,14,11,6,0,8,18,3,4
2012-06,Metropolitan Police,00AYGR,153,18,53,3,8,28,10,0,13,10,2,8
2012-06,Metropolitan Police,00AYGM,218,19,72,9,14,32,9,7,7,32,6,11
2012-06,Metropolitan Police,00AYGL,259,13,94,24,10,24,8,3,10,42,19,12
2012-06,Metropolitan Police,00AYGN,161,10,52,13,11,26,4,1,7,18,13,6
2012-06,Metropolitan Police,00AYGH,163,19,37,6,22,27,4,4,12,17,8,7
2012-06,Metropolitan Police,00AYGK,287,13,121,23,10,41,9,3,8,41,13,5
2012-06,Metropolitan Police,00AYGJ,191,10,63,12,12,26,8,3,8,30,14,5
2012-06,Metropolitan Police,00AYGE,282,12,91,25,7,39,4,7,8,65,20,4
2012-06,Metropolitan Police,00AXFZ,101,8,43,1,6,15,2,1,9,10,1,5
2012-06,Metropolitan Police,00AXFY,59,3,33,1,1,7,1,0,5,7,0,1
2012-06,Metropolitan Police,00AXFX,45,2,20,0,6,4,0,3,5,3,0,2
2012-06,Metropolitan Police,00AHX1,150,20,59,2,12,26,2,5,6,13,2,3
2012-06,Metropolitan Police,00AYGC,297,21,66,12,19,27,7,7,16,108,7,7
2012-06,Metropolitan Police,00AYGB,192,11,48,22,31,12,2,1,8,51,1,5
2012-06,Metropolitan Police,00BEGL,201,23,63,8,13,22,4,2,14,41,8,3
2012-06,Metropolitan Police,00BEGM,198,16,79,6,21,18,4,2,16,20,8,8
2012-06,Metropolitan Police,00BEGN,188,20,58,17,5,32,6,3,8,23,8,8
